geocode,municipio,latitude,longitude
1501303,BARCARENA,-1.505767,-48.627073
1501402,BELÉM,-1.459845,-48.487826
1501451,BELTERRA,-2.64902,-54.942675
1501501,BENEVIDES,-1.361438,-48.241836
1501576,BOM JESUS DO TOCANTINS,-5.047363,-48.59904
1501600,BONITO,-1.367474,-47.305892
1501709,BRAGANÇA,-1.053524,-46.765754
1501725,BRASIL NOVO,-3.297804,-52.543441
1501758,BREJO GRANDE DO ARAGUAIA,-5.707296,-48.40576
1501782,BREU BRANCO,-3.778135,-49.56988
1501808,BREVES,-1.690737,-50.480895
1501907,BUJARU,-1.513991,-48.035875
1501956,CACHOEIRA DO PIRIÁ,-1.752897,-46.547391
1502004,CACHOEIRA DO ARARI,-1.008786,-48.960668
1502103,CAMETÁ,-2.246838,-49.49783
1502152,CANAÃ DOS CARAJÁS,-6.532197,-49.848958
1502202,CAPANEMA,-1.192442,-47.175126
1502301,CAPITÃO POÇO,-1.746187,-47.062825
1502400,CASTANHAL,-1.295757,-47.926643
1502509,CHAVES,-0.162437,-49.989319
1502608,COLARES,-0.932091,-48.288728
1502707,CONCEIÇÃO DO ARAGUAIA,-8.264864,-49.264501
1502756,CONCÓRDIA DO PARÁ,-1.984521,-47.949887
1502764,CUMARU DO NORTE,-7.811107,-50.771578
1502772,CURIONÓPOLIS,-6.09682,-49.602214
1502806,CURRALINHO,-1.809423,-49.791523
1502855,CURUÁ,-1.889929,-55.119679
1502905,CURUÇÁ,-0.732496,-47.851265
1502939,DOM ELISEU,-4.290778,-47.555915
1502954,ELDORADO DOS CARAJÁS,-6.103525,-49.373952
1503002,FARO,-2.172975,-56.745753
1503044,FLORESTA DO ARAGUAIA,-7.558701,-49.697578
1503077,GARRAFÃO DO NORTE,-1.931697,-47.045046
1503093,GOIANÉSIA DO PARÁ,-3.842468,-49.101045
1503101,GURUPÁ,-1.404918,-51.643696
1503200,IGARAPÉ-AÇU,-1.124322,-47.622375
1503309,IGARAPÉ-MIRI,-1.983116,-48.962299
1503408,INHANGAPI,-1.426582,-47.913393
1503457,IPIXUNA DO PARÁ,-2.557529,-47.499718
1503507,IRITUIA,-1.771475,-47.440756
1503606,ITAITUBA,-4.263729,-55.990049
1503705,ITUPIRANGA,-5.128837,-49.324426
1503754,JACAREACANGA,-6.223552,-57.76634
1503804,JACUNDÁ,-4.448405,-49.112782
1503903,JURUTI,-2.155253,-56.094998
1504000,LIMOEIRO DO AJURU,-1.891949,-49.381534
1504059,MÃE DO RIO,-2.047707,-47.55229
1504109,MAGALHÃES BARATA,-0.79585,-47.599182
1504208,MARABÁ,-5.352606,-49.142025
1504307,MARACANÃ,-0.762419,-47.455268
1504406,MARAPANIM,-0.712151,-47.702549
1504422,MARITUBA,-1.346417,-48.340536
1504455,MEDICILÂNDIA,-3.445417,-52.888345
1504505,MELGAÇO,-1.803447,-50.717465
1504604,MOCAJUBA,-2.582873,-49.509023
1504703,MOJU,-1.885889,-48.767199
1504802,MONTE ALEGRE,-2.003328,-54.073375
1504901,MUANÁ,-1.530026,-49.216832
1504950,NOVA ESPERANÇA DO PIRIÁ,-2.267626,-46.962093
1504976,NOVA IPIXUNA,-4.923086,-49.079887
1505007,NOVA TIMBOTEUA,-1.204144,-47.393202
1505031,NOVO PROGRESSO,-7.034836,-55.41987
1505064,NOVO REPARTIMENTO,-4.248149,-49.948638
1505106,ÓBIDOS,-1.909235,-55.516324
1505205,OEIRAS DO PARÁ,-2.004734,-49.855106
1505304,ORIXIMINÁ,-1.763754,-55.8628
1505403,OURÉM,-1.548947,-47.117619
1505437,OURILÂNDIA DO NORTE,-6.740617,-51.090833
1505486,PACAJÁ,-3.830306,-50.634841
1505494,PALESTINA DO PARÁ,-5.749934,-48.321794
1505502,PARAGOMINAS,-2.994191,-47.356962
1505536,PARAUAPEBAS,-6.07273,-49.900781
1505551,PAU D'ARCO,-7.836794,-50.048276
1505601,PEIXE-BOI,-1.189569,-47.317927
1505635,PIÇARRA,-6.453676,-48.868401
1505650,PLACAS,-3.867316,-54.216968
1505700,PONTA DE PEDRAS,-1.3966,-48.871786
1505809,PORTEL,-1.936451,-50.82249
1505908,PORTO DE MOZ,-1.74609,-52.242477
1506005,PRAINHA,-1.805695,-53.481814
1506104,PRIMAVERA,-0.940112,-47.117251
1506112,QUATIPURU,-0.900116,-47.006787
1506138,REDENÇÃO,-8.027605,-50.029642
1506161,RIO MARIA,-7.311115,-50.046411
1506187,RONDON DO PARÁ,-4.777822,-48.069974
1506195,RURÓPOLIS,-4.099065,-54.905862
1506203,SALINÓPOLIS,-0.623638,-47.35312
1506302,SALVATERRA,-0.754526,-48.513187
1506351,SANTA BÁRBARA DO PARÁ,-1.229439,-48.297741
1506401,SANTA CRUZ DO ARARI,-0.659974,-49.171616
1506500,SANTA ISABEL DO PARÁ,-1.297396,-48.16306
1506559,SANTA LUZIA DO PARÁ,-1.518828,-46.906169
1506583,SANTA MARIA DAS BARREIRAS,-8.870551,-49.719352
1506609,SANTA MARIA DO PARÁ,-1.347866,-47.574695
1506708,SANTANA DO ARAGUAIA,-9.329425,-50.344804
1506807,SANTARÉM,-2.436213,-54.71857
1506906,SANTARÉM NOVO,-0.92872,-47.400925
1507003,SANTO ANTÔNIO DO TAUÁ,-1.151693,-48.132433
1507102,SÃO CAETANO DE ODIVELAS,-0.746618,-48.025805
1507151,SÃO DOMINGOS DO ARAGUAIA,-5.549841,-48.720373
1507201,SÃO DOMINGOS DO CAPIM,-1.675815,-47.774785
1507300,SÃO FÉLIX DO XINGU,-6.642483,-51.993783
1507409,SÃO FRANCISCO DO PARÁ,-1.170189,-47.790515
1507458,SÃO GERALDO DO ARAGUAIA,-6.398958,-48.555712
1507466,SÃO JOÃO DA PONTA,-0.851002,-47.920724
1507474,SÃO JOÃO DE PIRABAS,-0.766443,-47.172674
1507508,SÃO JOÃO DO ARAGUAIA,-5.359003,-48.788633
1507607,SÃO MIGUEL DO GUAMÁ,-1.617136,-47.482409
1507706,SÃO SEBASTIÃO DA BOA VISTA,-1.718851,-49.532312
1507755,SAPUCAIA,-6.942857,-49.703581
1507805,SENADOR JOSÉ PORFÍRIO,-2.59485,-51.953056
1507904,SOURE,-0.725926,-48.516013
1507953,TAILÂNDIA,-2.93708,-48.951282
1507961,TERRA ALTA,-1.034827,-47.907808
1507979,TERRA SANTA,-2.108114,-56.490905
1508001,TOMÉ-AÇU,-2.419367,-48.146897
1508035,TRACUATEUA,-1.068784,-46.899478
1508050,TRAIRÃO,-4.699819,-55.99617
1508084,TUCUMÃ,-6.749972,-51.139539
1508100,TUCURUÍ,-3.766889,-49.667184
1508126,ULIANÓPOLIS,-3.757193,-47.503145
1508159,URUARÁ,-3.706529,-53.737031
1508209,VIGIA,-0.855533,-48.141499
1508308,VISEU,-1.203279,-46.138765
1508357,VITÓRIA DO XINGU,-2.883766,-52.01126
1508407,XINGUARA,-7.101513,-49.942701
1600055,SERRA DO NAVIO,0.897841,-52.003538
1600105,AMAPÁ,2.053921,-50.793214
1600154,PEDRA BRANCA DO AMAPARI,0.776883,-51.946594
1600204,CALÇOENE,2.496559,-50.944773
1600212,CUTIAS,0.971078,-50.801626
1600238,FERREIRA GOMES,0.853977,-51.187429
1600253,ITAUBAL,0.600653,-50.700179
1600279,LARANJAL DO JARI,-0.855665,-52.539021
1600303,MACAPÁ,0.038951,-51.057405
1600402,MAZAGÃO,-0.124396,-51.286077
1600501,OIAPOQUE,3.851131,-51.830553
1600535,PORTO GRANDE,0.712555,-51.414449
1600550,PRACUÚBA,1.742508,-50.784254
1600600,SANTANA,-0.038373,-51.172846
1600709,TARTARUGALZINHO,1.509848,-50.912786
1600808,VITÓRIA DO JARI,-0.918977,-52.419615
1700251,ABREULÂNDIA,-9.621791,-49.162438
1700301,AGUIARNÓPOLIS,-6.547171,-47.470457
1700350,ALIANÇA DO TOCANTINS,-11.303743,-48.94124
1700400,ALMAS,-11.574523,-47.174172
1700707,ALVORADA,-12.478815,-49.126811
1701002,ANANÁS,-6.362818,-48.079765
